Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
8;1001968;;Отпуск;0;;мужской;1;0;высшее;;;1;48;26;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1001988;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.49;женский;0;0;высшее;специалист;>250;0;29;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1002008;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.32;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;67;40;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1002028;2НДФЛ;Покупка автомобиля;1;0.49;женский;0;0;второе высшее;менеджер среднего звена;>250;0;10;27;Другое;ООО;холост / не замужем;5;5;2;2;1;0.1653543307;0;0;0;0;0.25;2;6;106;8;2;0;16;57;1;1;1;1;0;0;0
8;1002048;Поступление зарплаты на счет;Покупка недвижимости/ строительство;0;0.22;женский;0;0;незаконченное высшее;специалист;>250;0;17;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1002068;Форма банка (без печати работодателя);Ремонт;0;0.17;мужской;1;0;высшее;менеджер высшего звена;< 50;0;166;43;Торговля;ООО;женат / замужем;1;0;0;0;0;0.0119047619;1;0;0;0;0.2;1;4;83;5;1;2;19;80;1;0;0;0;0;0;0
8;1002088;2НДФЛ;Ремонт;1;0.57;женский;1;0;высшее;вспомогательный персонал;>250;0;26;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1002108;Поступление зарплаты на счет;Покупка бытовой техники;1;0.18;мужской;0;0;среднее;вспомогательный персонал;>250;0;15;34;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1002128;Поступление зарплаты на счет;Ремонт;0;0.59;женский;1;0;высшее;специалист;>250;0;47;27;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;1;0;0;1;1;0;7;1;0;0;5;5;0;0;0;0;0;0;0
8;1002148;Форма банка (без печати работодателя);Ремонт;0;0.5;мужской;0;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
